hour_key,date_key,date,hour_start,hour_end,hour_start_ts,hour_end_ts,production_units_reported,operation_record_count,monitored_time_h,operation_time_h,downtime_h,published_efficiency,calculated_efficiency,time_reconciliation_variance_h,source_coverage
2022101111,20221011,2022-10-11T00:00:00,11,12,2022-10-11T11:00:00,2022-10-11T12:00:00,223.0,1.0,0.9999999999999991,0.4463727777777802,0.5536272222222189,0.4463727777777806,0.4463727777777806,0.0,Both
2022101112,20221011,2022-10-11T00:00:00,12,13,2022-10-11T12:00:00,2022-10-11T13:00:00,125.0,1.0,0.49999999999999956,0.204223611111116,0.2957763888888836,0.4084472222222324,0.4084472222222324,0.0,Both
2022101310,20221013,2022-10-13T00:00:00,10,11,2022-10-13T10:00:00,2022-10-13T11:00:00,151.0,1.0,0.33333333333333304,0.2666341666666661,0.06669916666666692,0.7999024999999991,0.7999024999999991,0.0,Both
2022101311,20221013,2022-10-13T00:00:00,11,12,2022-10-13T11:00:00,2022-10-13T12:00:00,398.0,1.0,0.9999999999999991,0.6956322222222208,0.30436777777777846,0.6956322222222214,0.6956322222222214,-1.1102230246251565e-16,Both
2022101313,20221013,2022-10-13T00:00:00,13,14,2022-10-13T13:00:00,2022-10-13T14:00:00,91.0,1.0,0.33333333333333304,0.1959352777777791,0.13739805555555396,0.5878058333333378,0.5878058333333378,-2.7755575615628914e-17,Both
2022101315,20221013,2022-10-13T00:00:00,15,16,2022-10-13T15:00:00,2022-10-13T16:00:00,226.0,1.0,0.9999999999999991,0.5001788888888901,0.4998211111111091,0.5001788888888905,0.5001788888888905,-5.551115123125783e-17,Both
2022101316,20221013,2022-10-13T00:00:00,16,17,2022-10-13T16:00:00,2022-10-13T17:00:00,141.0,1.0,0.49999999999999956,0.2207536111111084,0.2792463888888912,0.44150722222221717,0.44150722222221717,0.0,Both
2022102015,20221020,2022-10-20T00:00:00,15,16,2022-10-20T15:00:00,2022-10-20T16:00:00,301.0,1.0,0.9999999999999991,0.7666569444444449,0.23334305555555426,0.7666569444444455,0.7666569444444455,-2.7755575615628914e-17,Both
2022102414,20221024,2022-10-24T00:00:00,14,15,2022-10-24T14:00:00,2022-10-24T15:00:00,389.0,1.0,0.9999999999999991,0.4874847222222125,0.5125152777777866,0.48748472222221295,0.48748472222221295,0.0,Both
2022102415,20221024,2022-10-24T00:00:00,15,16,2022-10-24T15:00:00,2022-10-24T16:00:00,138.0,1.0,0.9999999999999991,0.22494111111111326,0.775058888888886,0.22494111111111345,0.22494111111111345,-1.1102230246251565e-16,Both
2022102416,20221024,2022-10-24T00:00:00,16,17,2022-10-24T16:00:00,2022-10-24T17:00:00,131.0,1.0,0.9999999999999991,0.21242027777777817,0.787579722222221,0.21242027777777836,0.21242027777777836,0.0,Both
2022102417,20221024,2022-10-24T00:00:00,17,18,2022-10-24T17:00:00,2022-10-24T18:00:00,336.0,1.0,0.9999999999999991,0.62084277777778,0.3791572222222192,0.6208427777777805,0.6208427777777805,-5.551115123125783e-17,Both
2022102418,20221024,2022-10-24T00:00:00,18,19,2022-10-24T18:00:00,2022-10-24T19:00:00,180.0,1.0,0.5166666666666664,0.3917222222222188,0.12494444444444754,0.7581720430107465,0.7581720430107465,4.163336342344337e-17,Both
2022102511,20221025,2022-10-25T00:00:00,11,12,2022-10-25T11:00:00,2022-10-25T12:00:00,294.0,1.0,0.38377888888888884,0.38377888888888884,0.0,1.0,1.0,0.0,Both
2022102512,20221025,2022-10-25T00:00:00,12,13,2022-10-25T12:00:00,2022-10-25T13:00:00,244.0,1.0,0.9999999999999991,0.4870783333333333,0.5129216666666658,0.4870783333333337,0.4870783333333337,0.0,Both
2022102513,20221025,2022-10-25T00:00:00,13,14,2022-10-25T13:00:00,2022-10-25T14:00:00,0.0,1.0,0.9999999999999991,0.0,0.9999999999999991,0.0,0.0,0.0,Both
2022102514,20221025,2022-10-25T00:00:00,14,15,2022-10-25T14:00:00,2022-10-25T15:00:00,366.0,1.0,0.9999999999999991,0.2771566666666671,0.7228433333333321,0.27715666666666733,0.27715666666666733,-1.1102230246251565e-16,Both
2022102515,20221025,2022-10-25T00:00:00,15,16,2022-10-25T15:00:00,2022-10-25T16:00:00,533.0,1.0,0.9999999999999991,0.9999999999999991,0.0,1.0,1.0,0.0,Both
2022102516,20221025,2022-10-25T00:00:00,16,17,2022-10-25T16:00:00,2022-10-25T17:00:00,452.0,1.0,0.9999999999999991,0.7999613888888917,0.2000386111111075,0.7999613888888923,0.7999613888888923,-5.551115123125783e-17,Both
2022102517,20221025,2022-10-25T00:00:00,17,18,2022-10-25T17:00:00,2022-10-25T18:00:00,160.0,1.0,0.32305555555555526,0.2980577777777763,0.024997777777778986,0.9226208082545105,0.9226208082545105,-3.469446951953614e-17,Both
2022102616,20221026,2022-10-26T00:00:00,16,17,2022-10-26T16:00:00,2022-10-26T17:00:00,95.0,1.0,0.299722222222222,0.14978388888888902,0.14993833333333295,0.49974235403151146,0.49974235403151146,2.7755575615628914e-17,Both
2022102617,20221026,2022-10-26T00:00:00,17,18,2022-10-26T17:00:00,2022-10-26T18:00:00,333.0,1.0,0.9669444444444436,0.5545463888888895,0.4123980555555541,0.5735038781959219,0.5735038781959219,0.0,Both
2022102816,20221028,2022-10-28T00:00:00,16,17,2022-10-28T16:00:00,2022-10-28T17:00:00,226.0,1.0,0.9999999999999991,0.3833997222222202,0.616600277777779,0.3833997222222205,0.3833997222222205,-1.1102230246251565e-16,Both
2022102817,20221028,2022-10-28T00:00:00,17,18,2022-10-28T17:00:00,2022-10-28T18:00:00,232.0,1.0,0.846666666666666,0.33845055555555315,0.5082161111111128,0.39974475065616544,0.39974475065616544,1.1102230246251565e-16,Both
2022103111,20221031,2022-10-31T00:00:00,11,12,2022-10-31T11:00:00,2022-10-31T12:00:00,431.0,1.0,0.9999999999999991,0.9794361111111095,0.020563888888889697,0.9794361111111104,0.9794361111111104,-9.367506770274758e-17,Both
2022103112,20221031,2022-10-31T00:00:00,12,13,2022-10-31T12:00:00,2022-10-31T13:00:00,0.0,1.0,0.9999999999999991,0.010573888888890373,0.9894261111111088,0.010573888888890381,0.010573888888890381,0.0,Both
2022103113,20221031,2022-10-31T00:00:00,13,14,2022-10-31T13:00:00,2022-10-31T14:00:00,194.0,1.0,0.9999999999999991,0.4060027777777769,0.5939972222222223,0.4060027777777772,0.4060027777777772,0.0,Both
2022103114,20221031,2022-10-31T00:00:00,14,15,2022-10-31T14:00:00,2022-10-31T15:00:00,74.0,1.0,0.9999999999999991,0.14815361111111153,0.8518463888888876,0.14815361111111167,0.14815361111111167,0.0,Both
2022103115,20221031,2022-10-31T00:00:00,15,16,2022-10-31T15:00:00,2022-10-31T16:00:00,238.0,1.0,0.9999999999999991,0.4709416666666688,0.5290583333333303,0.47094166666666926,0.47094166666666926,0.0,Both
2022103116,20221031,2022-10-31T00:00:00,16,17,2022-10-31T16:00:00,2022-10-31T17:00:00,236.0,1.0,0.9999999999999991,0.47671361111111077,0.5232863888888883,0.4767136111111112,0.4767136111111112,0.0,Both
2022103117,20221031,2022-10-31T00:00:00,17,18,2022-10-31T17:00:00,2022-10-31T18:00:00,404.0,1.0,0.9999999999999991,0.7958199999999966,0.20418000000000253,0.7958199999999973,0.7958199999999973,-5.551115123125783e-17,Both
2022103118,20221031,2022-10-31T00:00:00,18,19,2022-10-31T18:00:00,2022-10-31T19:00:00,162.0,1.0,0.34416666666666634,0.2650022222222203,0.07916444444444609,0.7699822437449507,0.7699822437449507,-5.551115123125783e-17,Both
2022110311,20221103,2022-11-03T00:00:00,11,12,2022-11-03T11:00:00,2022-11-03T12:00:00,227.0,1.0,0.709444444444444,0.41627111111111137,0.2931733333333326,0.5867564604541903,0.5867564604541903,0.0,Both
2022110312,20221103,2022-11-03T00:00:00,12,13,2022-11-03T12:00:00,2022-11-03T13:00:00,44.0,1.0,0.9999999999999991,0.05291916666666542,0.9470808333333337,0.05291916666666547,0.05291916666666547,0.0,Both
2022110313,20221103,2022-11-03T00:00:00,13,14,2022-11-03T13:00:00,2022-11-03T14:00:00,40.0,1.0,0.9999999999999991,0.04510555555555742,0.9548944444444417,0.04510555555555746,0.04510555555555746,0.0,Both
2022110314,20221103,2022-11-03T00:00:00,14,15,2022-11-03T14:00:00,2022-11-03T15:00:00,147.0,1.0,0.9999999999999991,0.23828500000000094,0.7617149999999983,0.23828500000000116,0.23828500000000116,-1.1102230246251565e-16,Both
2022110315,20221103,2022-11-03T00:00:00,15,16,2022-11-03T15:00:00,2022-11-03T16:00:00,246.0,1.0,0.9999999999999991,0.38244638888888327,0.617553611111116,0.3824463888888836,0.3824463888888836,-1.1102230246251565e-16,Both
2022110316,20221103,2022-11-03T00:00:00,16,17,2022-11-03T16:00:00,2022-11-03T17:00:00,294.0,1.0,0.9174999999999993,0.5009100000000056,0.4165899999999937,0.5459509536784807,0.5459509536784807,0.0,Both
2022110812,20221108,2022-11-08T00:00:00,12,13,2022-11-08T12:00:00,2022-11-08T13:00:00,203.0,1.0,0.4141666666666664,0.4141666666666664,0.0,1.0,1.0,0.0,Both
2022110813,20221108,2022-11-08T00:00:00,13,14,2022-11-08T13:00:00,2022-11-08T14:00:00,31.0,1.0,0.9999999999999991,0.04822833333333234,0.9517716666666668,0.04822833333333238,0.04822833333333238,0.0,Both
2022110814,20221108,2022-11-08T00:00:00,14,15,2022-11-08T14:00:00,2022-11-08T15:00:00,120.0,1.0,0.9999999999999991,0.689954166666665,0.31004583333333424,0.6899541666666656,0.6899541666666656,-1.1102230246251565e-16,Both
2022110815,20221108,2022-11-08T00:00:00,15,16,2022-11-08T15:00:00,2022-11-08T16:00:00,466.0,1.0,0.9999999999999991,0.9624999999999991,0.03749999999999997,0.9625,0.9625,6.938893903907228e-18,Both
